t,speed,speed_iir
0,0,0
0.3220414,0,-4.41274156527763e-14
0.4143453,0,0
0.5001204,0,0
0.587792,0,0
0.6760462,0,0
0.7607676,0,0
0.8519345,0,0
0.9337783,0,0
1.0139943,0,0
1.094365,0,0
1.1712374,0,0
1.2466691,0,0
1.3229777,0,0
1.3992335,0,0
1.4744866,0,0
1.5500079,0,0
1.6253584,0,0
1.7017881,0,0
1.7783923,0,0
1.8547236,0,0
1.9308292,0,0
2.007449,0,0
2.0844676,-12.9838766220108,-0.389516298660338
2.1598661,13.2628633195621,0.0119365769874367
2.236271,-13.088165811355,-0.381219005587372
2.3127801,0,-0.369278817813841
2.3878379,0,-0.365126533151869
2.4622369,-13.4410408742053,-0.760540147999403
2.5415582,-12.6069542481024,-1.07015295610214
2.6178376,-26.2193986843105,-1.86602603018064
2.6945935,-13.0283144357633,-2.1896579362312
2.7712523,-26.0896335450072,-2.90934753244163
2.8484052,-12.9612755968991,-3.19283238739372
2.925669,-12.9426717298399,-3.48088224452206
3.0023393,-26.08572028543,-4.18516431887419
3.0802143,-25.6821829855537,-4.76727409002969
3.1581381,-12.8330497229345,-5.0063514057094
3.2362193,0,-4.84637157085401
3.311469,-13.2890895246094,-5.27654186875455
3.3898855,-25.5048363545938,-5.67669364076943
3.466892,-12.9859167732594,-5.99679317297828
3.5453028,-12.7533452024466,-6.09531202169472
3.6230032,0,-5.96650909280488
3.6982255,-13.2939301244445,-6.37699377473368
3.7758385,0,-5.99514739356172
3.8506361,-13.3694129223397,-6.43526441245198
3.9267308,-13.1415197116225,-6.53004826110505
4.0052355,-12.738090840421,-6.52183883909977
4.0838558,-12.7193612845538,-6.69846275664838
4.1636848,-12.5267759836651,-6.77493263002833
4.2394634,-13.196337752347,-7.31883426211149
4.3185098,0,-6.80578348406003
4.3941747,-13.2161676021511,-7.29312406527429
4.4703699,-13.1241863004494,-7.4188203193111
4.5472007,-13.0156135299905,-7.5271914786017
4.6251538,-12.8282262026784,-7.5811037503645
4.7025538,-12.9198966408269,-7.79381682945287
4.7814991,0,-7.41202047394424
4.8582782,-26.0487554555861,-8.17396732345149
4.9374924,-12.6239992324608,-8.0637330035309
5.0137851,-13.1074139465506,-8.51456684743965
5.0913932,0,-8.11914368858399
5.1652662,-13.536745495648,-8.67986917871302
5.2399024,-13.3983241376168,-8.73532865504795
5.3138572,-13.5217727584957,-8.95699243953032
5.3898602,-13.1573753667618,-8.84886395185651
5.4650205,0,-8.67963540226659
5.5407942,-13.1971911098442,-8.74700695232282
5.6148291,-13.5071432527092,-9.08908215290529
5.69019,-13.2694805927211,-9.05936645705733
5.7642562,0,-8.94119516519885
5.8392813,-13.3288726039686,-8.96197591025288
5.9134375,-13.485049126034,-9.19952673813362
5.9881906,-13.3773716407747,-9.25360802906408
6.0628797,0,-8.98369119144177
6.138499,-13.2241372242271,-9.00371063304875
6.2134562,0,-8.81074355244723
6.2883476,-13.3526679965925,-8.95451021894666
6.3637297,-13.2657487652903,-9.02730664723939
6.4385726,0,-8.8195728979034
6.5145731,0,-8.42468062798629
6.5900801,-13.243805210113,-8.62266467831137
6.664865,-13.3716833210982,-8.84589530251823
6.740313,0,-8.50510568525363
6.8149676,0,-8.33762979546856
6.8896782,-13.3849815153406,-8.48298828826066
6.9644669,-13.3710039083444,-8.62103593811176
7.0391357,0,-8.37583285590124
7.1146021,-13.2509302153011,-8.43621779626692
7.191241,-13.0482039799632,-8.44938349975254
7.2666285,0,-8.33195043457077
7.3437805,0,-7.8971532297883
7.419981,-13.1232734693342,-8.14958866418314
7.4952386,0,-8.00414375524775
7.5708105,-13.2324316313339,-8.12870219754548
7.647535,-13.0336463580734,-8.157399859427
7.7232625,-13.2052424812652,-8.41301050145826
7.7983309,13.3211844131485,-7.83263483924916
7.8741097,-13.1963029237728,-7.92231949056588
7.9493717,0,-7.73741793050062
8.0246403,0,-7.50463728349924
8.1006218,-13.1610984252744,-7.60603088359241
8.1769394,0,-7.34535816789619
8.2526794,0,-7.17933328913133
8.3292001,0,-6.89290377922891
8.4052953,0,-6.72350328999273
8.479871,-13.409193611324,-7.05695739665991
8.5576916,0,-6.55982107044021
8.6339096,0,-6.4968187993186
8.7094847,0,-6.35552317084697
8.785549,0,-6.12520880640999
8.8609402,13.2641475397659,-5.59657398485498
8.938355,0,-5.28677275855256
9.0130089,0,-5.31782294128396
9.0891331,-13.1364270494799,-5.45275136440244
9.1656273,0,-5.26358528295763
9.2421038,13.0759122083254,-4.71458203488744
9.318719,-13.0522402865229,-4.95643280969495
