t,speed,speed_iir
0,0,0
0.3049927,0,-4.65940814819568e-14
0.3963258,0,-1.55593697303628e-13
0.4769989,0,-1.76153571825082e-13
0.5585398,-12.2637841868314,-0.36791352560513
0.6458315,11.4558428808237,0.0103102585925952
0.7279345,0,0.0106329853963749
0.8093752,-12.278872848588,-0.357968313140582
0.8910412,0,-0.346271328337261
0.9702418,0,-0.346338745804843
1.0512177,0,-0.328583311539269
1.1298405,0,-0.328264949805331
1.2075553,0,-0.32213730474367
1.2830222,0,-0.321780689605504
1.358206,13.3007376589106,0.0857195647113463
1.4367393,-12.7334519242156,-0.302401899180852
1.5134493,0,-0.300301922785452
1.5881182,13.3924565649152,0.102518241437152
1.6671943,0,0.0939003894793286
1.7428244,-13.2222488136337,-0.301433975482805
1.8208246,0,-0.283506417392285
1.8973609,13.0656956241679,0.111709730674907
1.9742496,0,0.107861805129459
2.0518848,0,0.103619921849658
2.1280119,0,0.102502482769914
2.2155565,0,0.0864601614878953
2.2902502,13.3880099660346,0.499935692645967
2.3641921,-13.5241317845498,0.0841442436078106
2.4406807,-13.0738436838953,-0.313312942202563
2.5147444,0,-0.313863907172491
2.5889059,0,-0.304046501133384
2.6653383,-52.333827015768,-1.85617733128855
2.7420585,-78.2062611932711,-4.13992567287747
2.8194796,-25.8327510200707,-4.7543556968327
2.8941793,0,-4.77973572055649
2.9685026,0,-4.65982376553124
3.0450322,0,-4.38971947171446
3.1201328,0,-4.33904883614844
3.19456,0,-4.24695831488122
3.2696075,0,-4.08549970907138
3.3439294,-26.9099686633416,-4.80892365822226
3.4197213,-65.9701102624423,-6.55328726337526
3.4950258,-13.2794188926292,-6.79621417244516
3.5721394,-12.9678811519628,-6.82670689533924
3.6476568,0,-6.76187191957223
3.722249,0,-6.64037013124868
3.7967533,-13.4220440967837,-6.85141961466654
3.8733596,13.0537566753648,-6.07190812929338
3.9500336,0,-5.88455047673714
4.0274263,-25.8422305979762,-6.43027394774616
4.1042492,-65.0847598827955,-8.23617143688999
4.1807132,-26.1560996024274,-8.81126775265077
4.2567712,0,-8.59255350016471
4.3323195,0,-8.39100894516573
4.4076446,13.2757872209926,-7.76512301024883
4.4829829,0,-7.53084961090873
4.5583323,0,-7.30384800707462
4.6356907,-25.8536888043187,-7.67635251082695
4.7127213,-51.9274158581132,-9.03557076838738
4.7887391,0,-8.88127483960881
4.8647704,0,-8.61330695736272
4.9409186,-13.1322867776258,-8.73605019566216
5.0182233,0,-8.34719574080274
5.0950822,0,-8.14374312807631
5.1698048,0,-8.12527353900052
5.2440522,-13.4684850917339,-8.33601335008316
5.3181609,-40.4810771205,-9.31549869422468
5.3927326,-26.8198257515918,-9.78452567312077
5.467606,0,-9.45274625894001
5.5438933,0,-8.99922364786533
5.6184333,0,-8.93387013638358
5.6930114,0,-8.6614268742039
5.76837,0,-8.314567637669
5.8428481,0,-8.16047873773152
5.9173095,-40.289331116525,-9.12611961274371
5.9919438,-26.7973304499407,-9.6357483575833
6.0868253,0,-7.35214571476039
6.158105,0,-9.49295711438171
6.2336732,0,-8.68560427758254
6.3105646,0,-8.2800523430986
6.3858961,0,-8.1979632986481
6.4603771,0,-8.04282872229357
6.5354182,-39.978092005581,-8.94265660129181
6.6106856,-13.2859644414447,-9.04687533559944
6.6856517,-13.3393627252851,-9.21091988372957
6.7604361,0,-8.95630022922954
6.8359448,0,-8.60427729118502
6.9104064,0,-8.46351487096699
6.9852221,0,-8.17075364059313
7.0612776,-39.4448790685746,-8.97977968133874
7.1379314,-26.0913353284508,-9.42513984365345
7.2163121,12.7582427817053,-8.55821140932678
7.2919336,-13.2237525042481,-9.00107301469406
7.3678803,0,-8.69365494078435
7.4422117,0,-8.61609994673226
7.5221341,0,-7.77295687358124
7.5985057,-13.0938725913822,-8.28313623624653
7.6743374,-13.1870972165994,-8.48745941814197
7.7493306,0,-8.32488708400165
7.8243961,0,-8.06736282854196
7.9019102,0,-7.5781465007495
7.9768908,0,-7.59917644702137
8.053705,-52.0737051222292,-8.75745741306173
8.1291242,0,-8.65185751986071
8.207205,0,-8.10622697874521
8.2830392,0,-8.0959839605028
8.3584185,0,-7.90049646059082
8.4360201,0,-7.44402017569581
8.5117571,0,-7.39846890930827
8.5872184,0,-7.20273444256539
8.6633571,0,-6.9244927146513
8.7403342,-12.990876507429,-7.03332831776527
