t,f,v
3.355859,-6.7,-3.05028650000001
3.406142,-5.7,-3.38718260000001
3.45808,-3.7,-3.68322920000001
3.527989,-2.7,-3.94189250000001
3.581677,-0.700000000000003,-4.08685010000001
3.632317,2.3,-4.12229810000001
3.688683,5.3,-3.99265630000001
3.739787,7.3,-3.72180510000001
3.791227,11.3,-3.34629310000001
3.844907,12.3,-2.73970910000001
3.899067,13.3,-2.07354110000001
3.954811,14.3,-1.33214590000002
4.005025,17.3,-0.614085700000017
4.056365,14.3,0.274096299999993
4.107325,14.3,1.00282429999999
4.160236,13.3,1.75945159999999
4.211649,11.3,2.44324449999999
4.264859,8.3,3.04451749999999
4.317215,7.3,3.47907229999999
4.367862,4.3,3.84879539999999
4.421746,0.299999999999997,4.08049659999999
4.473079,-1.7,4.09589649999999
4.526015,-3.7,4.00590529999999
4.589132,-6.7,3.77237239999999
4.643175,-7.7,3.41028429999998
4.696806,-9.7,2.99732559999999
4.786965,-12.7,2.12278329999998
4.839092,-12.7,1.46077039999999
4.893347,-12.7,0.771731899999982
4.947221,-12.7,0.0875320999999881
5.003608,-12.7,-0.628582800000012
5.055712,-10.7,-1.29030360000001
5.107017,-9.7,-1.83926710000001
5.159719,-7.7,-2.35047650000001
5.213486,-6.7,-2.76448240000001
5.27061,-4.7,-3.14721320000001
5.321169,1.3,-3.38484050000001
5.370873,4.3,-3.32022530000001
5.420759,2.3,-3.10571550000001
5.470173,6.3,-2.99206330000001
5.521092,8.3,-2.67127360000001
5.573016,10.3,-2.24030440000001
5.626977,13.3,-1.68450610000001
5.684959,13.3,-0.913345500000013
5.735903,13.3,-0.235790300000008
5.786916,11.3,0.442682599999982
5.838092,9.3,1.02097139999998
5.89178,6.3,1.52026979999998
5.943666,4.3,1.84715159999999
5.997705,0.299999999999997,2.07951929999998
6.047936,-1.7,2.09458859999998
6.11445,-3.7,1.98151479999998
6.169802,-6.7,1.77671239999998
6.22079,-7.7,1.43509279999998
6.280193,-10.7,0.977689699999984
6.338904,-11.7,0.349481999999977
6.392156,-12.7,-0.273566400000019
6.445977,-11.7,-0.95709310000002
6.497115,-11.7,-1.55540770000002
6.548323,-10.7,-2.15454130000002
6.603653,-7.7,-2.74657230000002
6.651972,-5.7,-3.11862860000002
6.701375,-2.7,-3.40022570000002
6.752007,-0.700000000000003,-3.53693210000002
6.80491,4.3,-3.57396420000002
6.857571,9.3,-3.34752190000002
