t,f,v
10.386471,-1,-3.22701799999999
10.433423,-1,-3.27396999999999
10.481164,-1,-3.32171099999999
10.528234,-1,-3.36878099999999
10.576441,-1,-3.41698799999999
10.623822,-1,-3.46436899999999
10.67175,-1,-3.51229699999999
10.718342,-1,-3.55888899999999
10.768478,-1,-3.60902499999999
10.815444,-1,-3.65599099999999
10.864322,-1,-3.70486899999999
10.921671,-1,-3.76221799999999
