t,f,v
0,0,2.5
0.168922,0.200000000000003,2.5337844
0.212851,0.200000000000003,2.5425702
0.263044,-0.799999999999997,2.5024158
0.311403,-0.799999999999997,2.4637286
0.359014,-0.799999999999997,2.4256398
0.413857,-0.799999999999997,2.3817654
0.460865,-1.8,2.297151
0.507358,-0.799999999999997,2.2599566
0.571271,-0.799999999999997,2.2088262
0.618894,-0.799999999999997,2.1707278
0.665674,-0.799999999999997,2.1333038
0.713275,-1.8,2.047622
0.760032,-1.8,1.9634594
0.80601,-3.8,1.788743
0.853912,-5.8,1.5109114
0.902792,-7.8,1.1296474
0.949884,-8.8,0.715237800000003
0.998121,-9.8,0.242515200000003
1.055897,-8.8,-0.265913599999998
1.104796,-6.8,-0.598426799999996
1.151899,-3.8,-0.777418199999997
1.198526,-0.799999999999997,-0.814719799999996
1.252581,3.2,-0.641743799999996
1.301966,8.2,-0.236786799999996
1.348198,10.2,0.234779600000005
1.403222,9.2,0.741000400000004
1.449793,6.2,1.02974060000001
1.497548,1.2,1.08704660000001
1.543289,-1.8,1.00471280000001
1.590317,-5.8,0.731950400000006
1.637326,-6.8,0.412289200000005
1.694709,-8.8,-0.0926811999999944
1.741611,-8.8,-0.505418799999994
1.789041,-5.8,-0.780512799999995
1.835289,-0.799999999999997,-0.817511199999994
1.884627,3.2,-0.659629599999994
1.932575,8.2,-0.266455999999995
1.98079,11.2,0.273552000000007
2.028342,11.2,0.806134400000005
2.087706,9.2,1.3522832
2.135179,3.2,1.50419680000001
2.189334,-1.8,1.40671780000001
2.244007,-3.8,1.19896040000001
2.290526,-6.8,0.882631200000007
2.33606,-9.8,0.436398000000007
2.383522,-11.8,-0.123653599999997
2.430367,-10.8,-0.629579599999994
2.47747,-7.8,-0.996982999999994
2.524838,-3.8,-1.17698139999999
2.571317,1.2,-1.12120659999999
2.619484,6.2,-0.822571199999994
2.676309,9.2,-0.299781199999995
2.723588,9.2,0.135185600000006
2.770316,6.2,0.424899200000005
2.817878,1.2,0.481973600000006
2.864452,-1.8,0.398140400000006
2.911851,-3.8,0.218024200000006
2.958498,-5.8,-0.0525283999999947
3.005056,-6.8,-0.369122799999995
3.049777,-7.8,-0.717946599999995
3.096312,-6.8,-1.03438459999999
3.143928,-4.8,-1.26294139999999
3.198929,-0.799999999999997,-1.30694219999999
3.253696,5.2,-1.02215379999999
3.301927,10.2,-0.530197599999994
3.348794,13.2,0.0884468000000034
3.398088,11.2,0.640539600000005
3.453471,5.2,0.928531200000005
3.509384,0.200000000000003,0.939713800000006
3.564786,-3.8,0.729186200000006
3.628433,-5.8,0.360033600000006
3.686036,-7.8,-0.089269799999996
3.734126,-8.8,-0.512461799999994
3.793241,-4.8,-0.796213799999995
3.84879,-1.8,-0.896201999999995
3.895549,3.2,-0.746573199999995
3.943295,8.2,-0.355055999999995
3.998841,10.2,0.211513200000006
4.046019,10.2,0.692728800000008
4.095627,3.2,0.851474400000009
4.144882,-0.799999999999997,0.812070400000009
4.192444,-3.8,0.631334800000009
4.239713,-5.8,0.357174600000009
4.305364,-7.8,-0.15490319999999
4.352843,-8.8,-0.57271839999999
4.401785,-5.8,-0.856581999999992
4.44869,-1.8,-0.941010999999991
4.49848,4.2,-0.731892999999992
4.557608,9.2,-0.187915399999989
4.605463,10.2,0.300205600000013
4.654356,5.2,0.554449200000011
4.712656,-0.799999999999997,0.507809200000012
4.760554,-3.8,0.325796800000012
4.808612,-6.8,-0.000997599999989163
4.856461,-8.8,-0.422068799999991
4.913695,-9.8,-0.982961999999985
4.961351,-8.8,-1.40233479999998
5.008886,-3.8,-1.58296779999999
5.068505,0.200000000000003,-1.57104399999999
5.124452,8.2,-1.11227859999999
5.171312,10.2,-0.634306599999982
5.218652,9.2,-0.198778599999989
5.274231,3.2,-0.0209257999999864
5.330382,-1.8,-0.121997599999986
5.378441,-4.8,-0.352680799999983
5.434427,-5.8,-0.677399599999987
5.481186,-7.8,-1.04211979999999
5.529218,-6.8,-1.36873739999999
5.584174,-2.8,-1.52261419999999
5.639456,1.2,-1.45627579999998
5.69358,4.2,-1.22895499999999
5.740521,8.2,-0.844038799999982
5.787005,4.2,-0.648805999999984
5.834346,1.2,-0.591996799999984
5.882566,-1.8,-0.678792799999983
5.929553,-3.8,-0.857343399999985
5.984452,-5.8,-1.17575759999998
6.039368,-5.8,-1.49427039999998
6.09396,-5.8,-1.81090399999998
6.150035,-4.8,-2.08006399999998
6.198474,-4.8,-2.31257119999998
6.253708,-4.8,-2.57769439999998
6.301695,-4.8,-2.80803199999998
6.349616,-4.8,-3.03805279999998
6.411028,-4.8,-3.33283039999998
6.45758,-4.8,-3.55627999999998
6.514307,-4.8,-3.82856959999998
6.572297,-5.8,-4.16491159999998
6.619858,-4.8,-4.39320439999998
6.666223,-5.8,-4.66212139999998
6.72646,-5.8,-5.01149599999998
6.773785,-5.8,-5.28598099999998
6.822081,-5.8,-5.56609779999998
6.879116,-5.8,-5.89690079999998
6.93447,-5.8,-6.21795399999998
6.997569,-4.8,-6.52082919999998
7.053852,-4.8,-6.79098759999998
7.109855,-5.8,-7.11580499999998
7.157476,-5.8,-7.39200679999998
7.205851,-4.8,-7.62420679999998
7.252564,-4.8,-7.84842919999998
7.29965,-4.8,-8.07444199999998
7.347708,-5.8,-8.35317839999998
7.395659,-5.8,-8.63129419999998
7.442301,-5.8,-8.90181779999998
7.491789,-5.8,-9.18884819999998
7.538597,-5.8,-9.46033459999998
7.594667,-5.8,-9.78554059999998
7.64979,-5.8,-10.105254
7.697157,-5.8,-10.3799826
